id,PXORDX,OLDPXORDX,CODETYPE,CCID,CONCEPTID,VOCABULARYID,DOMAINID,TRACK,STANCON,CODE,CODEWS,CODESCHEME,LONGDESC,SHORTDESC,CODESTATUS,CODECHANGE,CODECYEAR,CODEPTYPE,CODEBSTATUS,CODECCSTATUS,SEX_CD,ANATOC,POACS,POACC,POACCY,VALIDSD,VALIDED,INVALIDR,CREATE_DT
12,D,D,I09,"3-dig nonbill code",44825091,ICD9CM,Condition,Medical,NULL,003,003,ICD9DIAG,"Other salmonella infections","Other salmonella infections",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
13,D,D,I09,"4-dig billing code",44820516,ICD9CM,Condition,Medical,NULL,0030,003.0,ICD9DIAG,"Salmonella gastroenteritis","Salmonella gastroenteritis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
14,D,D,I09,"4-dig billing code",44822774,ICD9CM,Condition,Medical,NULL,0031,003.1,ICD9DIAG,"Salmonella septicemia","Salmonella septicemia",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
15,D,D,I09,"4-dig nonbill code",44834381,ICD9CM,Condition,Medical,NULL,0032,003.2,ICD9DIAG,"Localized salmonella infections","Localized salmonella infections",I,Deleted,2015,UP,Y,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
16,D,D,I09,"5-dig billing code",44819300,ICD9CM,Condition,Medical,NULL,00320,003.20,ICD9DIAG,"Localized salmonella infection, unspecified","Localized salmonella infection, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
17,D,D,I09,"5-dig billing code",44820517,ICD9CM,Condition,Medical,NULL,00321,003.21,ICD9DIAG,"Salmonella meningitis","Salmonella meningitis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
18,D,D,I09,"5-dig billing code",44832030,ICD9CM,Condition,Medical,NULL,00322,003.22,ICD9DIAG,"Salmonella pneumonia","Salmonella pneumonia",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
19,D,D,I09,"5-dig billing code",44833181,ICD9CM,Condition,Medical,NULL,00323,003.23,ICD9DIAG,"Salmonella arthritis","Salmonella arthritis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
20,D,D,I09,"5-dig billing code",44827443,ICD9CM,Condition,Medical,NULL,00324,003.24,ICD9DIAG,"Salmonella osteomyelitis","Salmonella osteomyelitis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
21,D,D,I09,"5-dig billing code",44832031,ICD9CM,Condition,Medical,NULL,00329,003.29,ICD9DIAG,"Other localized salmonella infections","Other localized salmonella infections",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
22,D,D,I09,"4-dig billing code",44832032,ICD9CM,Condition,Medical,NULL,0038,003.8,ICD9DIAG,"Other specified salmonella infections","Other specified salmonella infections",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
23,D,D,I09,"4-dig billing code",44833182,ICD9CM,Condition,Medical,NULL,0039,003.9,ICD9DIAG,"Salmonella infection, unspecified","Salmonella infection, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
24,D,D,I09,"3-dig nonbill code",44827444,ICD9CM,Condition,Medical,NULL,004,004,ICD9DIAG,Shigellosis,Shigellosis,I,Deleted,2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
25,D,D,I09,"4-dig billing code",44823923,ICD9CM,Condition,Medical,NULL,0040,004.0,ICD9DIAG,"Shigella dysenteriae","Shigella dysenteriae",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
26,D,D,I09,"4-dig billing code",44835565,ICD9CM,Condition,Medical,NULL,0041,004.1,ICD9DIAG,"Shigella flexneri","Shigella flexneri",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
27,D,D,I09,"4-dig billing code",44821631,ICD9CM,Condition,Medical,NULL,0042,004.2,ICD9DIAG,"Shigella boydii","Shigella boydii",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
28,D,D,I09,"4-dig billing code",44834382,ICD9CM,Condition,Medical,NULL,0043,004.3,ICD9DIAG,"Shigella sonnei","Shigella sonnei",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
29,D,D,I09,"4-dig billing code",44833183,ICD9CM,Condition,Medical,NULL,0048,004.8,ICD9DIAG,"Other specified shigella infections","Other specified shigella infections",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
30,D,D,I09,"4-dig billing code",44825092,ICD9CM,Condition,Medical,NULL,0049,004.9,ICD9DIAG,"Shigellosis, unspecified","Shigellosis, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
31,D,D,I09,"3-dig nonbill code",44826284,ICD9CM,Condition,Environmental,NULL,005,005,ICD9DIAG,"Other food poisoning (bacterial)","Other food poisoning (bacterial)",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
32,D,D,I09,"4-dig billing code",44833184,ICD9CM,Condition,Environmental,NULL,0050,005.0,ICD9DIAG,"Staphylococcal food poisoning","Staphylococcal food poisoning",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
33,D,D,I09,"4-dig billing code",44819301,ICD9CM,Condition,Environmental,NULL,0051,005.1,ICD9DIAG,"Botulism food poisoning","Botulism food poisoning",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
34,D,D,I09,"4-dig billing code",44834383,ICD9CM,Condition,Environmental,NULL,0052,005.2,ICD9DIAG,"Food poisoning due to Clostridium perfringens (C. welchii)","Food poisoning due to clostridium perfringens (c. welchii)",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
35,D,D,I09,"4-dig billing code",44832033,ICD9CM,Condition,Environmental,NULL,0053,005.3,ICD9DIAG,"Food poisoning due to other Clostridia","Food poisoning due to other clostridia",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
36,D,D,I09,"4-dig billing code",44820518,ICD9CM,Condition,Environmental,NULL,0054,005.4,ICD9DIAG,"Food poisoning due to Vibrio parahaemolyticus","Food poisoning due to vibrio parahaemolyticus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
37,D,D,I09,"4-dig nonbill code",44827445,ICD9CM,Condition,Environmental,NULL,0058,005.8,ICD9DIAG,"Other bacterial food poisoning","Other bacterial food poisoning",I,Deleted,2015,UP,Y,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
38,D,D,I09,"5-dig billing code",44819302,ICD9CM,Condition,Environmental,NULL,00581,005.81,ICD9DIAG,"Food poisoning due to Vibrio vulnificus","Food poisoning due to vibrio vulnificus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
39,D,D,I09,"5-dig billing code",44832034,ICD9CM,Condition,Environmental,NULL,00589,005.89,ICD9DIAG,"Other bacterial food poisoning","Other bacterial food poisoning",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
40,D,D,I09,"4-dig billing code",44828623,ICD9CM,Condition,Environmental,NULL,0059,005.9,ICD9DIAG,"Food poisoning, unspecified","Food poisoning, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
41,D,D,I09,"3-dig nonbill code",44826285,ICD9CM,Condition,Medical,NULL,006,006,ICD9DIAG,Amebiasis,Amebiasis,I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
42,D,D,I09,"4-dig billing code",44821632,ICD9CM,Condition,Medical,NULL,0060,006.0,ICD9DIAG,"Acute amebic dysentery without mention of abscess","Acute amebic dysentery without mention of abscess",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
43,D,D,I09,"4-dig billing code",44834384,ICD9CM,Condition,Medical,NULL,0061,006.1,ICD9DIAG,"Chronic intestinal amebiasis without mention of abscess","Chronic intestinal amebiasis without mention of abscess",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
44,D,D,I09,"4-dig billing code",44820519,ICD9CM,Condition,Medical,NULL,0062,006.2,ICD9DIAG,"Amebic nondysenteric colitis","Amebic nondysenteric colitis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
45,D,D,I09,"4-dig billing code",44829698,ICD9CM,Condition,Medical,NULL,0063,006.3,ICD9DIAG,"Amebic liver abscess","Amebic liver abscess",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
46,D,D,I09,"4-dig billing code",44821633,ICD9CM,Condition,Medical,NULL,0064,006.4,ICD9DIAG,"Amebic lung abscess","Amebic lung abscess",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
47,D,D,I09,"4-dig billing code",44823924,ICD9CM,Condition,Medical,NULL,0065,006.5,ICD9DIAG,"Amebic brain abscess","Amebic brain abscess",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
48,D,D,I09,"4-dig billing code",44834385,ICD9CM,Condition,Medical,NULL,0066,006.6,ICD9DIAG,"Amebic skin ulceration","Amebic skin ulceration",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
49,D,D,I09,"4-dig billing code",44825093,ICD9CM,Condition,Medical,NULL,0068,006.8,ICD9DIAG,"Amebic infection of other sites","Amebic infection of other sites",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
50,D,D,I09,"4-dig billing code",44826286,ICD9CM,Condition,Medical,NULL,0069,006.9,ICD9DIAG,"Amebiasis, unspecified","Amebiasis, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
51,D,D,I09,"3-dig nonbill code",44819303,ICD9CM,Condition,Medical,NULL,007,007,ICD9DIAG,"Other protozoal intestinal diseases","Other protozoal intestinal diseases",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
52,D,D,I09,"4-dig billing code",44827446,ICD9CM,Condition,Medical,NULL,0070,007.0,ICD9DIAG,Balantidiasis,Balantidiasis,A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
53,D,D,I09,"4-dig billing code",44829699,ICD9CM,Condition,Medical,NULL,0071,007.1,ICD9DIAG,Giardiasis,Giardiasis,A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
54,D,D,I09,"4-dig billing code",44834386,ICD9CM,Condition,Medical,NULL,0072,007.2,ICD9DIAG,Coccidiosis,Coccidiosis,A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
55,D,D,I09,"4-dig billing code",44827447,ICD9CM,Condition,Medical,NULL,0073,007.3,ICD9DIAG,"Intestinal trichomoniasis","Intestinal trichomoniasis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
56,D,D,I09,"4-dig billing code",44836736,ICD9CM,Condition,Medical,NULL,0074,007.4,ICD9DIAG,Cryptosporidiosis,Cryptosporidiosis,A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
57,D,D,I09,"4-dig billing code",44832035,ICD9CM,Condition,Medical,NULL,0075,007.5,ICD9DIAG,Cyclosporiasis,Cyclosporiasis,A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
58,D,D,I09,"4-dig billing code",44823925,ICD9CM,Condition,Medical,NULL,0078,007.8,ICD9DIAG,"Other specified protozoal intestinal diseases","Other specified protozoal intestinal diseases",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
59,D,D,I09,"4-dig billing code",44835566,ICD9CM,Condition,Medical,NULL,0079,007.9,ICD9DIAG,"Unspecified protozoal intestinal disease","Unspecified protozoal intestinal disease",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
60,D,D,I09,"3-dig nonbill code",44823926,ICD9CM,Condition,Medical,NULL,008,008,ICD9DIAG,"Intestinal infections due to other organisms","Intestinal infections due to other organisms",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
61,D,D,I09,"4-dig nonbill code",44828624,ICD9CM,Condition,Medical,NULL,0080,008.0,ICD9DIAG,"Intestinal infection due to escherichia coli [E. coli]","Intestinal infection due to escherichia coli [e. coli]",I,Deleted,2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
62,D,D,I09,"5-dig billing code",44827448,ICD9CM,Condition,Medical,NULL,00800,008.00,ICD9DIAG,"Intestinal infection due to E. coli, unspecified","Intestinal infection due to e. coli, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
63,D,D,I09,"5-dig billing code",44827449,ICD9CM,Condition,Medical,NULL,00801,008.01,ICD9DIAG,"Intestinal infection due to enteropathogenic E. coli","Intestinal infection due to enteropathogenic e. coli",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
64,D,D,I09,"5-dig billing code",44828625,ICD9CM,Condition,Medical,NULL,00802,008.02,ICD9DIAG,"Intestinal infection due to enterotoxigenic E. coli","Intestinal infection due to enterotoxigenic e. coli",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
65,D,D,I09,"5-dig billing code",44826287,ICD9CM,Condition,Medical,NULL,00803,008.03,ICD9DIAG,"Intestinal infection due to enteroinvasive E. coli","Intestinal infection due to enteroinvasive e. coli",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
66,D,D,I09,"5-dig billing code",44819304,ICD9CM,Condition,Medical,NULL,00804,008.04,ICD9DIAG,"Intestinal infection due to enterohemorrhagic E. coli","Intestinal infection due to enterohemorrhagic e. coli",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
67,D,D,I09,"5-dig billing code",44835567,ICD9CM,Condition,Medical,NULL,00809,008.09,ICD9DIAG,"Intestinal infection due to other intestinal E. coli infections","Intestinal infection due to other intestinal e. coli infections",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
68,D,D,I09,"4-dig billing code",44820520,ICD9CM,Condition,Medical,NULL,0081,008.1,ICD9DIAG,"Intestinal infection due to arizona group of paracolon bacilli","Intestinal infection due to arizona group of paracolon bacilli",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
69,D,D,I09,"4-dig billing code",44829700,ICD9CM,Condition,Medical,NULL,0082,008.2,ICD9DIAG,"Intestinal infection due to aerobacter aerogenes","Intestinal infection due to aerobacter aerogenes",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
70,D,D,I09,"4-dig billing code",44829701,ICD9CM,Condition,Medical,NULL,0083,008.3,ICD9DIAG,"Intestinal infection due to proteus (mirabilis) (morganii)","Intestinal infection due to proteus (mirabilis) (morganii)",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
71,D,D,I09,"4-dig nonbill code",44823927,ICD9CM,Condition,Medical,NULL,0084,008.4,ICD9DIAG,"Intestinal infections due to other specified bacteria","Intestinal infection due to other specified bacteria",I,Deleted,2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
72,D,D,I09,"5-dig billing code",44825094,ICD9CM,Condition,Medical,NULL,00841,008.41,ICD9DIAG,"Intestinal infection due to staphylococcus","Intestinal infection due to staphylococcus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
73,D,D,I09,"5-dig billing code",44834387,ICD9CM,Condition,Medical,NULL,00842,008.42,ICD9DIAG,"Intestinal infection due to pseudomonas","Intestinal infection due to pseudomonas",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
74,D,D,I09,"5-dig billing code",44825095,ICD9CM,Condition,Medical,NULL,00843,008.43,ICD9DIAG,"Intestinal infection due to campylobacter","Intestinal infection due to campylobacter",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
75,D,D,I09,"5-dig billing code",44835568,ICD9CM,Condition,Medical,NULL,00844,008.44,ICD9DIAG,"Intestinal infection due to yersinia enterocolitica","Intestinal infection due to yersinia enterocolitica",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
76,D,D,I09,"5-dig billing code",44826288,ICD9CM,Condition,Medical,NULL,00845,008.45,ICD9DIAG,"Intestinal infection due to Clostridium difficile","Intestinal infection due to clostridium difficile",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
77,D,D,I09,"5-dig billing code",44834388,ICD9CM,Condition,Medical,NULL,00846,008.46,ICD9DIAG,"Intestinal infection due to other anaerobes","Intestinal infection due to other anaerobes",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
78,D,D,I09,"5-dig billing code",44830883,ICD9CM,Condition,Medical,NULL,00847,008.47,ICD9DIAG,"Intestinal infection due to other gram-negative bacteria","Intestinal infection due to other gram-negative bacteria",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
79,D,D,I09,"5-dig billing code",44825096,ICD9CM,Condition,Medical,NULL,00849,008.49,ICD9DIAG,"Intestinal infection due to other organisms","Intestinal infection due to other organisms",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
80,D,D,I09,"4-dig billing code",44823928,ICD9CM,Condition,Medical,NULL,0085,008.5,ICD9DIAG,"Bacterial enteritis, unspecified","Bacterial enteritis, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
81,D,D,I09,"4-dig nonbill code",44825097,ICD9CM,Condition,Medical,NULL,0086,008.6,ICD9DIAG,"Intestinal infection, enteritis due to specified virus","Enteritis due to specified virus",I,Deleted,2015,UP,Y,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
82,D,D,I09,"5-dig billing code",44823929,ICD9CM,Condition,Medical,NULL,00861,008.61,ICD9DIAG,"Enteritis due to rotavirus","Enteritis due to rotavirus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
83,D,D,I09,"5-dig billing code",44820521,ICD9CM,Condition,Medical,NULL,00862,008.62,ICD9DIAG,"Enteritis due to adenovirus","Enteritis due to adenovirus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
84,D,D,I09,"5-dig billing code",44826289,ICD9CM,Condition,Medical,NULL,00863,008.63,ICD9DIAG,"Enteritis due to norwalk virus","Enteritis due to norwalk virus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
85,D,D,I09,"5-dig billing code",44823930,ICD9CM,Condition,Medical,NULL,00864,008.64,ICD9DIAG,"Enteritis due to other small round viruses [SRV's]","Enteritis due to other small round viruses [srv's]",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
86,D,D,I09,"5-dig billing code",44829702,ICD9CM,Condition,Medical,NULL,00865,008.65,ICD9DIAG,"Enteritis due to calicivirus","Enteritis due to calicivirus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
87,D,D,I09,"5-dig billing code",44828626,ICD9CM,Condition,Medical,NULL,00866,008.66,ICD9DIAG,"Enteritis due to astrovirus","Enteritis due to astrovirus",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
88,D,D,I09,"5-dig billing code",44833185,ICD9CM,Condition,Medical,NULL,00867,008.67,ICD9DIAG,"Enteritis due to enterovirus nec","Enteritis due to enterovirus nec",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
89,D,D,I09,"5-dig billing code",44826290,ICD9CM,Condition,Medical,NULL,00869,008.69,ICD9DIAG,"Enteritis due to other viral enteritis","Enteritis due to other viral enteritis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
90,D,D,I09,"4-dig billing code",44828627,ICD9CM,Condition,Medical,NULL,0088,008.8,ICD9DIAG,"Intestinal infection due to other organism, not elsewhere classified","Intestinal infection due to other organism, not elsewhere classified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
91,D,D,I09,"3-dig nonbill code",44830884,ICD9CM,Condition,Medical,NULL,009,009,ICD9DIAG,"Ill-defined intestinal infections","Ill-defined intestinal infections",I,Deleted,2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
92,D,D,I09,"4-dig billing code",44832036,ICD9CM,Condition,Medical,NULL,0090,009.0,ICD9DIAG,"Infectious colitis, enteritis, and gastroenteritis","Infectious colitis, enteritis, and gastroenteritis",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
93,D,D,I09,"4-dig billing code",44819305,ICD9CM,Condition,Medical,NULL,0091,009.1,ICD9DIAG,"Colitis, enteritis, and gastroenteritis of presumed infectious origin","Colitis, enteritis, and gastroenteritis of presumed infectious origin",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
94,D,D,I09,"4-dig billing code",44819306,ICD9CM,Condition,Medical,NULL,0092,009.2,ICD9DIAG,"Infectious diarrhea NOS","Infectious diarrhea nos",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
95,D,D,I09,"4-dig billing code",44828628,ICD9CM,Condition,Medical,NULL,0093,009.3,ICD9DIAG,"Diarrhea of presumed infectious origin","Diarrhea of presumed infectious origin",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
96,D,D,I09,"3-dig nonbill code",44822775,ICD9CM,Condition,Medical,NULL,010,010,ICD9DIAG,"Primary tuberculous infection","Primary tuberculous infection",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
97,D,D,I09,"4-dig nonbill code",44835569,ICD9CM,Condition,Medical,NULL,0100,010.0,ICD9DIAG,"Primary tuberculous infection","Primary tuberculous infection",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
98,D,D,I09,"5-dig billing code",44823931,ICD9CM,Condition,Medical,NULL,01000,010.00,ICD9DIAG,"Primary tuberculous infection, unspecified","Primary tuberculous infection, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
99,D,D,I09,"5-dig billing code",44819307,ICD9CM,Condition,Medical,NULL,01001,010.01,ICD9DIAG,"Primary tuberculous infection, bacteriological or histological examination not done","Primary tuberculous infection, bacteriological or histological examination not done",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
100,D,D,I09,"5-dig billing code",44828629,ICD9CM,Condition,Medical,NULL,01002,010.02,ICD9DIAG,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)","Primary tuberculous infection, bacteriological or histological examination unknown (at present)",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
101,D,D,I09,"5-dig billing code",44827450,ICD9CM,Condition,Medical,NULL,01003,010.03,ICD9DIAG,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
